"","13620001.HGL","13620001.LGL","13620002.HGL","13620003.HGL","13620003.LGL","13620004.HGL","13620004.LGL","13620006.HGL","13620006.LGL","13620007.HGL","13620011.HGL","13620011.LGL","13620030.HGL","13620030.LGL","13620033.HGL","13620033.LGL","13620041.HGL","13620043.HGL","13620043.LGL","13620056.HGL","13620056.LGL","13620068.HGL","13620068.LGL","13620080.LGL","13620094.HGL","13620094.LGL","13620110.HGL","13620110.LGL","13620116.HGL","13620116.LGL","13620127.HGL","13620127.LGL","13620135.HGL","13620135.LGL","13620147.HGL","13620147.LGL","13620159.HGL","13620159.LGL","13620175.HGL","13620175.LGL","13620195.HGL","13620195.LGL","13620212.HGL","13620212.LGL","13620216.HGL","13620216.LGL","13620253.HGL","13620253.LGL","13620265.HGL","13620265.LGL","13620296.HGL","13620296.LGL","13620306.HGL","13620306.LGL","13620310.HGL","13620310.LGL","13620336.HGL","13620336.LGL","13620346.HGL","13620346.LGL","13620347.HGL","13620347.LGL","13620399.HGL","13620399.LGL","13620400.HGL","13620400.LGL","13620481.HGL","13620481.LGL","13620485.HGL","13620485.LGL","13620543.HGL","13620543.LGL","13620553.HGL","13620553.LGL","13620620.HGL","13620620.LGL","13620636.HGL","13620636.LGL","13620637.HGL","13620637.LGL","13620645.HGL","13620645.LGL","13620656.HGL","13620656.LGL","13620690.HGL","13620690.LGL","13620692.HGL","13620692.LGL","13620696.HGL","13620696.LGL","13620705.HGL","13620705.LGL","13620733.HGL","13620733.LGL","13620734.HGL","13620734.LGL","13620746.HGL","13620746.LGL","13620748.HGL","13620748.LGL","13620753.HGL","13620753.LGL","13620781.HGL","13620781.LGL","13620811.HGL","13620811.LGL","13620834.HGL","13620834.LGL","13620918.HGL","13620918.LGL","13620926.HGL","13620926.LGL","13620930.HGL","13620930.LGL","13620983.HGL","13620983.LGL","13620987.HGL","13620987.LGL","13620991.HGL","13620991.LGL","13621023.HGL","13621023.LGL","13621025.HGL","13621025.LGL","13621026.HGL","13621026.LGL","13621029.HGL","13621029.LGL"
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__Methanobrevibacter_smithii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.92701578435712,NA,-0.0537004144372771,NA,NA,NA,0.134496669627869,1.06722928342526,0.338747063625738,NA,0.25283271554075,NA,NA,NA,NA,NA,1.50498699372403,0.143886880164544,-1.19121170293705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13716456086088,-0.12118839275128,1.11190640385141,0.0934351854659689,NA,NA,NA,NA,-0.978552421937057,NA,-1.09475789985831,0.125896464643634,NA,NA,NA,NA,-0.304395287294624,NA,NA,NA,NA,NA,NA,NA,NA,0.443939424228451,-0.102991370992955,0.420964623965983,NA,-0.283672327932306,NA,NA,NA,NA,1.09909786096254,NA,0.401535548425646,1.53069757295167,NA,NA,NA,NA,NA,NA,0.0661239404212664,-0.260884280128074,NA,NA,NA,NA,0.127155433063522,0.0746841849492738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43080918447451,0.702911427579718,NA,NA,-0.888966470984896,-0.516829981230955,NA,NA,0.617078549771236,0.119188104852389,NA,0.091208187713912,NA,NA,NA,NA,NA,NA,NA,NA
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_adolescentis",0.673948295854251,0.397546861026023,0.531249475724322,NA,NA,NA,NA,0.978467599528694,0.802102680414232,0.319131466084079,0.520731531472917,0.159046746295317,0.380622322116365,0.336647607777029,-0.119247439883149,-0.281265419489801,0.686120443608546,NA,NA,-1.16905617519577,-1.53165001907363,-0.557633435030243,0.367967181461577,-0.869524155094377,0.440384418441362,NA,NA,NA,0.0790744425974185,0.265529326807072,0.32010766460246,0.22152326683418,NA,NA,-0.210362469673509,-0.453459644477123,NA,NA,0.792445122377,-0.200768251486463,NA,0.118698747861735,NA,NA,0.490036450531665,NA,0.504459567716115,0.671432277060178,0.00479900491143642,-0.315378623872586,NA,NA,0.394497291670377,0.928763908637705,0.0638383817367955,-0.285438744409685,NA,NA,-0.260049688843054,-0.0352870975395953,-0.516286029596288,-0.76153842794851,-0.349154147922513,-0.464325105122683,0.0104430192548507,0.190867300665426,0.478266991632481,-1.42731799988995,-3.08838237550422,NA,0.592883043935206,-0.0755047000098137,1.08634832138614,0.775672692642982,-0.129418889231173,0.137801974634107,-0.105075066293629,-0.0608592664908608,0.089186945602322,-0.129575210020305,0.865139106146063,NA,-3.71712104089934,-1.6047942192587,0.298982019579885,0.0980420765688296,-2.73995955647193,NA,-1.37522501287259,-0.693706754406153,1.02368419999957,0.958516929680845,0.304372730904695,0.270172124348986,0.625846636314596,1.04545370427794,0.615791406537544,0.629600778445039,0.0364149056680349,0.120028199142249,0.679764529473777,0.183990038941466,-1.83984220693946,-1.34461348018303,NA,NA,-0.135857424608931,0.352038055729157,0.570070705868091,0.797406071952557,0.531102770286498,0.568871826358306,0.841575345474777,0.777652300125522,NA,NA,NA,NA,NA,0.704179771777676,0.339858939888545,0.300601736403939,-0.46430031569454,0.0255930106445982,-0.217577891150988,-0.0639013953925245,0.824904068884441,0.677290442766449
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_bifidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.665598753176051,NA,NA,NA,NA,-0.60963334805707,-2.42826574893055,-0.0944944970819896,NA,NA,NA,-5.02376570945126,NA,NA,NA,0.72802936119688,0.915875240147068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.500981538231903,-0.454304968453754,NA,NA,NA,NA,1.13097808575359,1.85603570753458,NA,-0.815395942897019,NA,NA,NA,NA,-0.695851367346712,0.545347909607334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295050956428188,-1.39679511383456,NA,NA,0.87225769076843,-0.0817005119511889,NA,NA,0.509732806850775,-0.101880681077901,NA,NA,NA,NA,NA,NA,NA,NA,0.064784257715892,0.791138801285404,NA,NA,NA,NA,-0.608559533499237,-1.14186232354857,-3.17691591624644,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.600573607288055,0.00392174145370274,NA,NA,0.724881991360929,0.357241783197395,NA,NA,NA,NA,NA,-0.00302877972111443,NA,NA,0.0105519068355177,-0.369321528568959,NA,NA,0.413231212977339,-0.29111402699819
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_catenulatum",NA,NA,1.16460186727366,NA,NA,NA,NA,NA,NA,NA,1.04674432036565,1.35177739462583,NA,NA,-1.21447250149713,NA,-0.655408941324359,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.43465858163497,-2.15516486046625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485013493065803,-0.21869379082223,NA,NA,NA,NA,NA,NA,0.192267941111021,-0.586477828590839,NA,NA,NA,NA,NA,NA,-0.0564795729350612,0.206423164421796,NA,NA,NA,-0.794359613236429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0219405232902016,-1.60005653007611,NA,NA,NA,NA,NA,NA,NA,-0.0186763543354064,NA,NA,0.885641250292273,0.358478730540193,NA,NA,NA,NA,-0.861033040466445,-0.327695209269911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123712369907471,0.114501525108733,NA,NA,-0.270980089403344,0.366821095517382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.565725010263088,0.436144863326627,0.718706248085376,-0.428774218631758,-0.052147771632408,NA,NA,1.56574031726037,0.964945119578454
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum",0.322659947288493,0.447982804089182,1.34818732247935,0.477903905784484,0.107089601761237,NA,NA,NA,NA,0.638077178514924,0.894549131856222,0.606630650277784,-0.391950446799612,-0.649627847462087,-0.938470255983621,-0.872886993316935,-2.01837065047532,0.126870776302727,0.204903085148412,-0.919716928788893,0.50793275421447,NA,-2.909150836897,1.3568160615017,-2.43816212305074,-0.924715834428366,1.26467302636346,0.277115979927183,NA,NA,0.677260551077708,0.716274062601234,NA,NA,-0.0797376955086349,-0.607968092443039,-0.534474752256303,-1.12220412170197,1.00614165168212,0.577337754443689,0.0363195280967164,-0.32402461257501,NA,NA,1.19347545947262,1.09922291017236,0.0509602506673818,0.187996948724864,0.570532100724345,1.10155991727275,NA,NA,0.62499331325917,1.59263341189697,-0.792918969998535,-1.58739950396334,-0.394047225667448,0.640560488806756,-3.15973590155141,-2.14461463592002,0.358219077247673,0.127999048241677,-1.86491403594693,-1.53300387614033,-0.611664227838457,-0.853073988765693,0.23111025499276,-0.282818811023332,NA,NA,0.393468954648443,-0.23147353961818,1.23180111827832,0.872720134406108,-0.569954401072774,-0.214728930261174,0.75790391820971,0.701415681552204,NA,NA,-0.0742752104254984,0.338731725089385,NA,NA,0.0727250907792806,-0.257769862384939,-0.890208305323896,0.267204464108006,-0.714239793253178,-0.6674279226506,-0.41888596626518,0.0153308603553603,1.02638871209354,0.905146969480746,NA,NA,0.39316396880279,0.444641625027155,-0.55141879967254,-0.847903458592562,1.54228066679865,1.04460472762006,1.55122349788284,1.39423254407186,NA,NA,-0.945472428488341,-0.564669642805232,0.00157417625945944,-0.618573298216458,NA,NA,0.743863331038728,0.654096439554931,-0.258827121095943,-0.666505250752654,-0.166779999995577,-0.491704702966249,1.16051974944495,-1.53157255787863,0.465937797622624,0.498980567984573,-0.805323990749716,-0.626822621035978,-0.597869059196918,-0.930514438387953,0.974633831735971,0.835760039236397
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum",-0.00206801357660759,-0.304051830974781,0.33218147342954,0.764048330444847,0.374044871881663,NA,NA,NA,NA,-0.0652006187471424,1.06195172696031,0.83874065888695,NA,NA,NA,NA,-1.87951642850678,NA,NA,NA,NA,NA,NA,0.878964366859315,NA,NA,1.65680252982537,1.18633691390371,NA,NA,NA,NA,NA,NA,-0.306614961341153,0.389219069595177,0.906862494174456,1.35881261862858,0.669032926482248,1.02625305848586,NA,NA,NA,NA,0.309545685722995,2.13811342933847,NA,NA,-0.415968605544145,1.3685053879077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.056592731838976,0.388952216624348,NA,NA,NA,NA,NA,NA,NA,NA,0.598806116293685,0.595218688975727,-2.46452817778944,NA,-1.4085391426857,0.0937240394851318,NA,NA,NA,NA,NA,NA,-0.580546376824933,1.14363267257865,NA,NA,NA,NA,-0.520041536687888,-0.688930014608442,NA,NA,0.647759431279606,0.352612115191276,NA,NA,NA,NA,NA,-0.292594036504554,NA,NA,0.735882889925103,0.966564266371534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242364695456735,0.382133193946585,NA,NA,NA,-2.48426051512618,NA,-0.66289645427206,NA,NA,0.933852117903783,0.410935084079455,-1.15947382435591,-1.45680302206761
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia.s__Adlercreutzia_equolifaciens",-1.07147961904994,-2.07707126801036,0.598408794382689,-0.443207538477135,-0.0067106877987539,NA,NA,0.902192517386142,-1.00724397296754,-0.378097722629617,NA,NA,-1.10127170990963,-0.49274875180664,-0.772103046748825,NA,0.63695355801143,NA,NA,1.17523183590969,0.627861944340394,0.0967208544056151,-3.63157601708681,-0.170030277765918,2.51900212324095,1.31299518197124,0.301768894718085,NA,NA,NA,0.590334460737132,1.28029161679165,NA,-2.4600704712416,-0.719327277153095,-1.37507146713304,-0.608607197225587,NA,0.559755178519258,0.800907417889891,0.6518745505057,0.363162106668996,1.29662304138484,0.690371499157619,-0.984027509954685,NA,0.447144936007465,-0.738034746529206,NA,NA,NA,NA,-0.408226625948154,-0.216360075625865,NA,NA,0.722583589006883,0.936229232169045,0.615527084872196,0.405978260013816,1.30985040026936,0.555757471246783,0.655040026287221,-0.382236484217732,-2.06009400327377,-1.15472857004536,-1.35377393613659,-0.0671112714397522,0.857037169887835,0.128064343333396,-2.33835265001919,NA,0.743394053160072,-0.276196591201584,NA,NA,-0.805555626265932,-0.18952225215019,0.192181203741484,-0.361881528613877,NA,NA,0.0602632353322668,0.0523660306064934,1.79007061329278,1.63782908163115,0.468347012646455,0.968515746466861,0.0390065090813485,-0.81041374372841,NA,NA,NA,NA,NA,NA,0.0219555822650733,0.479748982246843,-0.444548526025387,-0.284389026640958,NA,NA,-0.965912146291901,0.0234817611028873,0.314023816853823,-0.465999077755219,NA,NA,0.0233123245920839,-0.366482395525086,0.511633891112801,-0.582831710136616,-0.135240069510785,-0.963675354027276,-2.037304731176,NA,-0.133292624182394,-0.377960119730617,0.146885435500645,0.849172109420657,NA,-1.78855604169317,-1.86373737009897,-0.730206062956006,NA,NA,0.377037236966271,0.605525098380691
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_aerofaciens",0.286223025251108,0.184533669802101,0.459337273872322,1.38178764079705,-0.192771495594142,NA,NA,0.824356575334911,0.0563328939880035,0.178761299220249,NA,NA,-0.0668333919208753,-0.454530011163014,0.00376828760298895,-0.38453634174419,0.568719687900006,NA,NA,0.074046303439004,-0.320014718272263,0.655860563122606,1.00820810941852,NA,0.235598285758529,0.0856749722457692,-0.097318447933903,-0.545003040854591,-0.570110631948994,0.658384665739781,0.179924996947644,0.364036857022626,0.559008396864352,0.566275837168081,-1.97341656706867,-1.82809503447304,-0.412046484844645,-0.22607592488982,0.297480973670873,0.0269363917398332,-0.616258666626509,-1.07623105808796,-0.282887050360903,-0.871118247297207,1.41100802193845,1.33149987041489,0.00701627087596982,0.193115932687753,-0.099490751131326,0.517605437568972,0.178645556704504,0.501702168179251,-1.12728298492814,0.721069200436826,-1.01969326305205,-1.07502607201268,-5.38027828086526,-3.59249356362994,0.292987418104072,0.252492678331818,0.814252645876732,0.647271108034292,-0.525784856941918,-0.890368972477602,0.246053661033389,0.603884192805015,0.956212482998418,0.380077391554077,-0.819876414114167,-0.549989534536939,-0.512396649278018,-0.139747547439599,1.19027205778522,0.73651154943098,-0.70734649565428,-0.197953178302037,1.12691205117721,-0.237490937310322,-0.375460821649777,-0.304919779926771,0.419218352019152,NA,0.544617690966859,0.397228845413814,NA,NA,-0.756014997362378,-0.140926861932158,-0.638368297695013,-0.709710942274012,0.09501505326189,0.827187156722033,-0.801075945712702,-0.339310124653386,NA,NA,0.130311266383804,0.907368780224954,-0.00197377111070453,0.180430407828593,-0.0326030283032749,-1.50163556511669,0.829945011879291,-0.0231681604064845,0.706993661436483,0.209743321858456,0.509194240412313,0.988930755601671,0.205708885915158,0.408812413413662,1.18180387514417,0.469686904411553,0.84474118422634,0.802098940700747,0.243010401493942,-0.258723449802536,0.326811806080738,-0.0320900874492066,NA,0.592654335935422,0.1820887261043,0.643361461866521,-1.82530335084726,-1.66643545495454,0.0919060952603055,-0.0555251573756325,0.402221422490418,0.0919789147875635
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella.s__Eggerthella_lenta",NA,NA,NA,NA,NA,NA,NA,-1.04629838547391,-0.322532244116383,NA,NA,NA,NA,NA,NA,NA,NA,-0.716819371126079,-2.03110364652796,-0.487449622444618,NA,NA,NA,-0.383603992555821,2.23113957172987,2.35903513941188,-0.757610113153999,-0.704248052336626,-0.0898839470756195,0.90573309838188,NA,NA,0.869982545874685,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0809908833485482,-1.64595456499287,-1.24905976652537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.998272470490717,-0.241736806168498,NA,NA,NA,NA,1.27990140591568,1.59089854095774,NA,NA,NA,NA,NA,NA,-0.205536647867132,NA,0.558552431491951,-0.373689481248553,NA,NA,NA,NA,NA,NA,NA,NA,0.530363485796705,0.305183756953784,NA,NA,NA,NA,NA,NA,NA,-0.917741354203678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella.s__Eggerthella_unclassified",NA,-0.507607607328218,NA,0.162518293839461,0.746149921105551,-2.11196123175855,NA,0.358045414821702,0.512524874445975,NA,0.923848537910045,0.863969273273148,NA,NA,-1.43354938432167,NA,-0.553726064027766,0.681777119718524,0.934288158225798,-0.561834576277583,-2.37531251735995,NA,NA,0.130715994896207,1.28923990476723,1.3231152083489,0.972378211676163,0.655042449769417,0.327413512290541,0.676992888304479,NA,NA,0.676636890269681,NA,NA,-1.92111624834333,-1.70877332229372,0.338132540929793,NA,NA,-0.274843874943002,-1.1607223760175,0.643520052609695,0.0552885162085039,0.296948286398757,NA,-0.857663525983351,NA,NA,NA,1.69285248773448,0.230359780230517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484371626159621,-0.111831228182402,NA,NA,-1.95695093281308,0.371061272729373,-0.978928260337936,NA,NA,NA,-1.18548784216604,NA,NA,NA,-0.123752310494256,NA,0.430403901571419,0.365746985165192,NA,0.459467366771466,NA,NA,0.776162580712726,1.64876658661494,-1.15170718463462,0.266040140716963,NA,NA,NA,NA,0.78003371796258,0.204215957864839,1.1207259306612,0.756374594616676,NA,NA,NA,-0.205836321766185,NA,NA,0.67835548124697,0.371315517141861,NA,-0.50928605156816,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18945702456625,0.138892737637594,-0.981130957670629,0.465053822063194,-0.343837862287058,NA,NA,NA,NA,NA,NA,NA,NA
